scene_name,rank,segment_id,point_count,center_x,center_y,center_z,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,planarity,adjacency_degree,semantic_purity,instance_purity,mixed_semantic,mixed_instance
scene0011_00,1,2944,1068,6.7745747566223145,5.334832668304443,0.10463405400514603,6.42754602432251,4.795167446136475,0.07617275416851044,7.089544773101807,5.878306865692139,0.13454797863960266,0.1583680361509323,16,1.0,1.0,False,False
scene0011_00,2,2820,765,5.471375942230225,6.764439105987549,1.7886855602264404,5.1764445304870605,6.739891529083252,1.4973480701446533,5.736173629760742,6.792463302612305,1.9725178480148315,0.4129173755645752,13,1.0,1.0,False,False
scene0011_00,3,2374,711,4.8418731689453125,6.85056734085083,0.5638782978057861,4.27610969543457,6.792840480804443,0.22642424702644348,5.317262172698975,6.906128406524658,0.7634755373001099,0.10342337936162949,16,1.0,1.0,False,False
scene0011_00,4,285,608,2.210462808609009,3.7558975219726562,1.067765235900879,2.1515252590179443,3.118093967437744,0.8232079744338989,2.2646913528442383,4.450839042663574,1.5242500305175781,0.12876498699188232,21,0.9226973684210527,0.9226973684210527,True,True
scene0011_00,5,2312,571,5.302640438079834,6.00857400894165,0.08372171968221664,4.887633323669434,5.550415515899658,0.07722225785255432,5.622062683105469,6.447500228881836,0.09199189394712448,0.3565673530101776,14,1.0,1.0,False,False
scene0011_00,6,2447,556,5.176542282104492,6.906835556030273,2.1181793212890625,4.7959747314453125,6.856650352478027,1.9770556688308716,5.573551177978516,6.955023288726807,2.2694246768951416,0.11412335187196732,15,0.9910071942446043,0.9910071942446043,False,False
scene0011_00,7,2364,532,4.712383270263672,6.743165016174316,1.4071297645568848,4.527867317199707,6.710784912109375,1.1939729452133179,4.8616790771484375,6.796529293060303,1.6606814861297607,0.22008158266544342,13,1.0,1.0,False,False
scene0011_00,8,2425,516,5.496291637420654,6.737171173095703,1.2897645235061646,5.261871337890625,6.7129106521606445,1.0908546447753906,5.700219631195068,6.757896423339844,1.5962587594985962,0.3581130802631378,10,1.0,1.0,False,False
scene0011_00,9,231,515,2.4487719535827637,3.2406671047210693,1.862921953201294,2.2186355590820312,3.209764242172241,1.644547462463379,2.741150379180908,3.266831874847412,2.0575978755950928,0.2705846428871155,12,0.0,1.0,True,False
scene0011_00,10,1804,515,4.855190277099609,0.07756368070840836,0.9037108421325684,4.667741298675537,0.005487881135195494,0.36269664764404297,5.077749729156494,0.1539066880941391,1.1902213096618652,0.09985736757516861,14,0.5495145631067961,0.5495145631067961,True,True
scene0011_00,11,352,511,2.295987367630005,4.7601518630981445,1.1307885646820068,2.237267255783081,4.5787672996521,1.0899968147277832,2.347269058227539,4.934425354003906,1.1821309328079224,0.03959554806351662,20,0.9980430528375733,0.9980430528375733,False,False
scene0011_00,12,2825,510,6.108154296875,6.815091609954834,1.5364763736724854,5.89547872543335,6.767834663391113,1.0815520286560059,6.240980625152588,6.850049018859863,1.9113821983337402,0.14279744029045105,11,1.0,1.0,False,False
scene0077_00,1,971,702,3.496417284011841,0.9662532806396484,0.4524310529232025,3.21228289604187,0.9503234624862671,0.04675804078578949,3.698997974395752,1.0017454624176025,0.9242618680000305,0.14108924567699432,28,1.0,1.0,False,False
scene0077_00,2,868,575,2.735961437225342,2.910892963409424,0.7199690937995911,2.5299899578094482,2.8472933769226074,0.4803920388221741,2.877387285232544,2.9679291248321533,0.9047970771789551,0.39259812235832214,6,0.0,1.0,True,False
scene0077_00,3,960,549,3.42704176902771,0.8929122090339661,0.7426102161407471,3.094308376312256,0.8314505219459534,0.5069065690040588,3.6681368350982666,0.9465090036392212,0.943681538105011,0.1617097109556198,14,1.0,0.97632058287796,False,False
scene0077_00,4,951,529,3.745048999786377,0.9602192044258118,0.47957608103752136,3.5621178150177,0.9376476407051086,0.179229274392128,3.943948984146118,0.992304801940918,0.8971901535987854,0.10791438817977905,17,1.0,1.0,False,False
scene0077_00,5,417,523,0.9707494378089905,0.7935976386070251,2.038736343383789,0.6382331252098083,0.7268337607383728,1.5645594596862793,1.2733254432678223,0.8019002079963684,2.4488959312438965,0.3002711534500122,15,1.0,0.9483747609942639,False,True
scene0077_00,6,990,460,3.7385361194610596,0.8332061767578125,0.4314550757408142,3.528534412384033,0.7913675904273987,0.23090675473213196,3.924983024597168,0.8867902159690857,0.649074137210846,0.22333166003227234,12,0.0,1.0,True,False
scene0077_00,7,253,435,0.2488795667886734,1.868070363998413,2.029550790786743,0.167227640748024,1.6064954996109009,1.8864986896514893,0.40266895294189453,2.115082263946533,2.2396695613861084,0.35351869463920593,14,1.0,1.0,False,False
scene0077_00,8,131,428,0.5692616105079651,1.383050799369812,0.14284467697143555,0.46258214116096497,1.00022292137146,0.11300083994865417,0.825986921787262,1.7841132879257202,0.1698547899723053,0.13297751545906067,6,0.9415887850467289,0.9415887850467289,True,True
scene0077_00,9,812,427,3.3570353984832764,0.9771528840065002,0.7579349279403687,3.2038986682891846,0.9460229277610779,0.5892779231071472,3.5733492374420166,1.006316900253296,0.9257749915122986,0.34301379323005676,13,1.0,1.0,False,False
scene0077_00,10,757,425,3.396066665649414,0.8791792988777161,0.4009036123752594,3.234013557434082,0.849089503288269,0.2075718492269516,3.560434103012085,0.9144040942192078,0.6210196614265442,0.20139706134796143,11,0.0,1.0,True,False
scene0077_00,11,424,419,1.203716516494751,0.7884060740470886,2.400965929031372,0.847891092300415,0.7302443385124207,2.0537900924682617,1.4388991594314575,0.807080090045929,2.7118887901306152,0.1028551384806633,7,1.0,1.0,False,False
scene0077_00,12,360,418,0.9467249512672424,1.4667383432388306,0.13465842604637146,0.6311042308807373,1.1502703428268433,0.10131260752677917,1.4066250324249268,1.8312729597091675,0.3501635491847992,0.3128073215484619,12,0.8923444976076556,0.8923444976076556,True,True
scene0608_01,1,2436,891,5.9932990074157715,2.736544609069824,1.3645814657211304,5.744077205657959,2.4231600761413574,1.0701326131820679,6.229483127593994,3.089432954788208,1.688163161277771,0.257939875125885,15,1.0,1.0,False,False
scene0608_01,2,2240,608,4.736072063446045,2.9201743602752686,0.8573017120361328,4.475425720214844,2.5098202228546143,0.6877552270889282,4.901156425476074,3.3093390464782715,0.9471407532691956,0.16760317981243134,14,1.0,0.9967105263157895,False,False
scene0608_01,3,2434,601,5.924548149108887,2.6256978511810303,0.9061303734779358,5.777378082275391,2.455855131149292,0.7027665972709656,6.1106648445129395,2.8772614002227783,1.1394968032836914,0.33336061239242554,15,1.0,1.0,False,False
scene0608_01,4,347,546,0.9938902258872986,3.9076709747314453,1.4126778841018677,0.9295095801353455,3.686880350112915,1.1874799728393555,1.0513616800308228,4.072282791137695,1.6105785369873047,0.322558730840683,14,1.0,1.0,False,False
scene0608_01,5,740,537,2.554309844970703,2.933506488800049,0.07826855778694153,2.1094741821289062,2.6172823905944824,0.0510127954185009,2.981261968612671,3.3051257133483887,0.11549361050128937,0.4470978081226349,9,0.9422718808193669,0.9422718808193669,True,True
scene0608_01,6,1795,520,4.510113716125488,1.5132339000701904,0.2377888560295105,4.281798362731934,1.2922477722167969,0.19223381578922272,4.796456336975098,1.8540000915527344,0.2810520529747009,0.45504382252693176,10,1.0,0.9923076923076923,False,False
scene0608_01,7,200,519,1.033163070678711,3.3711133003234863,1.1086541414260864,0.9935953617095947,3.1216909885406494,0.935981273651123,1.0674614906311035,3.616006374359131,1.3632838726043701,0.39659085869789124,10,1.0,1.0,False,False
scene0608_01,8,2157,506,5.27439022064209,1.9238173961639404,0.24454504251480103,5.006287097930908,1.639839768409729,0.1954796463251114,5.496549129486084,2.1787025928497314,0.3079623579978943,0.2698576748371124,15,1.0,0.83399209486166,False,True
scene0608_01,9,64,459,0.20191776752471924,3.7224833965301514,2.3001656532287598,0.10431211441755295,3.511164426803589,2.0958774089813232,0.3392588198184967,3.939342975616455,2.437072515487671,0.2935195863246918,13,0.9956427015250545,0.9956427015250545,False,False
scene0608_01,10,1003,455,2.485422134399414,6.067347526550293,0.4801929295063019,2.3708183765411377,5.926871299743652,0.26814258098602295,2.58168625831604,6.217161655426025,0.6843481659889221,0.3404366075992584,11,0.0,1.0,True,False
scene0608_01,11,1531,443,2.802131414413452,2.5873143672943115,0.10396707057952881,2.4104385375976562,2.254784345626831,0.07946634292602539,3.0775489807128906,2.934708833694458,0.12980814278125763,0.42450645565986633,13,1.0,1.0,False,False
scene0608_01,12,1900,441,3.5151641368865967,1.4805575609207153,0.8321797847747803,3.219646692276001,1.2482967376708984,0.7879217863082886,3.788534164428711,1.7395944595336914,0.8646582961082458,0.4270811080932617,16,1.0,0.9841269841269841,False,False
