scene_name,method,rank,segment_id,point_count,semantic_purity,semantic_majority,instance_purity,instance_majority
scene0011_00,knn_geometry,1,2940,1068,1.0,0,1.0,3
scene0011_00,knn_geometry,2,2816,765,1.0,18,1.0,33
scene0011_00,knn_geometry,3,2370,711,1.0,16,1.0,1
scene0011_00,knn_geometry,4,285,608,0.9226973684210527,21,0.9226973684210527,1
scene0011_00,knn_geometry,5,2308,571,1.0,0,1.0,3
scene0011_00,knn_geometry,6,2443,556,0.9910071942446043,16,0.9910071942446043,1
scene0011_00,knn_geometry,7,2360,532,1.0,18,1.0,33
scene0011_00,knn_geometry,8,2421,516,1.0,18,1.0,33
scene0011_00,knn_geometry,9,231,515,0.0,-1,1.0,0
scene0011_00,knn_geometry,10,1800,515,0.5495145631067961,30,0.5495145631067961,5
scene0011_00,knn_geometry,11,352,511,0.9980430528375733,23,0.9980430528375733,16
scene0011_00,knn_geometry,12,2821,510,1.0,16,1.0,1
scene0011_00,mesh_normal,1,432,31740,1.0,0,1.0,3
scene0011_00,mesh_normal,2,1173,5594,1.0,2,1.0,4
scene0011_00,mesh_normal,3,922,3685,1.0,16,1.0,1
scene0011_00,mesh_normal,4,407,2455,1.0,1,1.0,29
scene0011_00,mesh_normal,5,1211,2212,1.0,0,1.0,3
scene0011_00,mesh_normal,6,151,2151,1.0,21,1.0,1
scene0011_00,mesh_normal,7,1276,2119,1.0,16,1.0,1
scene0011_00,mesh_normal,8,451,1911,1.0,25,1.0,159
scene0011_00,mesh_normal,9,335,1856,1.0,27,1.0,27
scene0011_00,mesh_normal,10,1417,1831,1.0,14,1.0,1
scene0011_00,mesh_normal,11,1498,1632,1.0,16,1.0,1
scene0011_00,mesh_normal,12,472,1592,1.0,20,1.0,7
scene0011_00,mesh_normal_ibsp,1,439,31740,1.0,0,1.0,3
scene0011_00,mesh_normal_ibsp,2,1180,5594,1.0,2,1.0,4
scene0011_00,mesh_normal_ibsp,3,929,3685,1.0,16,1.0,1
scene0011_00,mesh_normal_ibsp,4,408,2456,0.9995928338762216,1,0.9995928338762216,29
scene0011_00,mesh_normal_ibsp,5,1218,2212,1.0,0,1.0,3
scene0011_00,mesh_normal_ibsp,6,151,2151,1.0,21,1.0,1
scene0011_00,mesh_normal_ibsp,7,1283,2119,1.0,16,1.0,1
scene0011_00,mesh_normal_ibsp,8,458,1911,1.0,25,1.0,159
scene0011_00,mesh_normal_ibsp,9,336,1856,1.0,27,1.0,27
scene0011_00,mesh_normal_ibsp,10,1424,1831,1.0,14,1.0,1
scene0011_00,mesh_normal_ibsp,11,1505,1632,1.0,16,1.0,1
scene0011_00,mesh_normal_ibsp,12,479,1592,1.0,20,1.0,7
scene0077_00,knn_geometry,1,971,702,1.0,20,1.0,5
scene0077_00,knn_geometry,2,868,575,0.0,-1,1.0,0
scene0077_00,knn_geometry,3,960,549,0.023679417122040074,20,0.97632058287796,0
scene0077_00,knn_geometry,4,951,529,1.0,20,1.0,5
scene0077_00,knn_geometry,5,417,523,0.9483747609942639,19,0.9483747609942639,1
scene0077_00,knn_geometry,6,990,460,0.0,-1,1.0,0
scene0077_00,knn_geometry,7,253,435,1.0,4,1.0,8
scene0077_00,knn_geometry,8,131,428,0.9415887850467289,5,0.9415887850467289,3
scene0077_00,knn_geometry,9,812,427,1.0,20,1.0,5
scene0077_00,knn_geometry,10,757,425,0.0,-1,1.0,0
scene0077_00,knn_geometry,11,424,419,1.0,19,1.0,1
scene0077_00,knn_geometry,12,360,418,0.8923444976076556,5,0.8923444976076556,3
scene0077_00,mesh_normal,1,475,5037,1.0,5,1.0,3
scene0077_00,mesh_normal,2,283,3501,1.0,19,1.0,1
scene0077_00,mesh_normal,3,664,2402,1.0,11,1.0,1
scene0077_00,mesh_normal,4,328,1970,1.0,6,1.0,7
scene0077_00,mesh_normal,5,495,1859,1.0,20,1.0,5
scene0077_00,mesh_normal,6,374,1751,1.0,21,1.0,1
scene0077_00,mesh_normal,7,574,1420,1.0,20,1.0,5
scene0077_00,mesh_normal,8,672,1206,1.0,9,1.0,5
scene0077_00,mesh_normal,9,303,1189,1.0,5,1.0,3
scene0077_00,mesh_normal,10,642,1102,1.0,18,1.0,1
scene0077_00,mesh_normal,11,493,967,1.0,19,1.0,1
scene0077_00,mesh_normal,12,376,935,1.0,19,1.0,1
scene0077_00,mesh_normal_ibsp,1,475,5037,1.0,5,1.0,3
scene0077_00,mesh_normal_ibsp,2,283,3501,1.0,19,1.0,1
scene0077_00,mesh_normal_ibsp,3,664,2402,1.0,11,1.0,1
scene0077_00,mesh_normal_ibsp,4,328,1970,1.0,6,1.0,7
scene0077_00,mesh_normal_ibsp,5,495,1859,1.0,20,1.0,5
scene0077_00,mesh_normal_ibsp,6,374,1751,1.0,21,1.0,1
scene0077_00,mesh_normal_ibsp,7,574,1420,1.0,20,1.0,5
scene0077_00,mesh_normal_ibsp,8,672,1206,1.0,9,1.0,5
scene0077_00,mesh_normal_ibsp,9,303,1189,1.0,5,1.0,3
scene0077_00,mesh_normal_ibsp,10,642,1102,1.0,18,1.0,1
scene0077_00,mesh_normal_ibsp,11,493,967,1.0,19,1.0,1
scene0077_00,mesh_normal_ibsp,12,376,935,1.0,19,1.0,1
scene0608_01,knn_geometry,1,2437,891,1.0,7,1.0,1
scene0608_01,knn_geometry,2,2241,608,0.9967105263157895,3,0.9967105263157895,74
scene0608_01,knn_geometry,3,2435,601,1.0,7,1.0,1
scene0608_01,knn_geometry,4,347,546,1.0,12,1.0,33
scene0608_01,knn_geometry,5,742,537,0.9422718808193669,9,0.9422718808193669,3
scene0608_01,knn_geometry,6,1796,520,0.9923076923076923,9,0.9923076923076923,3
scene0608_01,knn_geometry,7,200,519,1.0,12,1.0,33
scene0608_01,knn_geometry,8,2158,506,0.83399209486166,9,0.83399209486166,3
scene0608_01,knn_geometry,9,64,459,0.9956427015250545,37,0.9956427015250545,1
scene0608_01,knn_geometry,10,1005,455,0.0,-1,1.0,0
scene0608_01,knn_geometry,11,1532,443,1.0,9,1.0,3
scene0608_01,knn_geometry,12,1901,441,0.015873015873015872,1,0.9841269841269841,0
scene0608_01,mesh_normal,1,416,9355,1.0,33,1.0,1
scene0608_01,mesh_normal,2,1029,7211,0.9998613229787824,9,0.9998613229787824,3
scene0608_01,mesh_normal,3,427,6516,1.0,21,1.0,41
scene0608_01,mesh_normal,4,952,3904,1.0,9,1.0,3
scene0608_01,mesh_normal,5,1409,1610,1.0,5,1.0,1
scene0608_01,mesh_normal,6,1471,1592,1.0,7,1.0,1
scene0608_01,mesh_normal,7,198,1377,1.0,35,1.0,51
scene0608_01,mesh_normal,8,1421,1287,1.0,5,1.0,1
scene0608_01,mesh_normal,9,900,1145,1.0,1,1.0,6
scene0608_01,mesh_normal,10,1273,1103,1.0,4,1.0,74
scene0608_01,mesh_normal,11,371,963,1.0,17,1.0,1198
scene0608_01,mesh_normal,12,1506,956,1.0,22,1.0,41
scene0608_01,mesh_normal_ibsp,1,418,9355,1.0,33,1.0,1
scene0608_01,mesh_normal_ibsp,2,1031,7211,0.9998613229787824,9,0.9998613229787824,3
scene0608_01,mesh_normal_ibsp,3,429,6516,1.0,21,1.0,41
scene0608_01,mesh_normal_ibsp,4,954,3904,1.0,9,1.0,3
scene0608_01,mesh_normal_ibsp,5,1412,1610,1.0,5,1.0,1
scene0608_01,mesh_normal_ibsp,6,1474,1592,1.0,7,1.0,1
scene0608_01,mesh_normal_ibsp,7,198,1377,1.0,35,1.0,51
scene0608_01,mesh_normal_ibsp,8,1424,1287,1.0,5,1.0,1
scene0608_01,mesh_normal_ibsp,9,902,1145,1.0,1,1.0,6
scene0608_01,mesh_normal_ibsp,10,1276,1103,1.0,4,1.0,74
scene0608_01,mesh_normal_ibsp,11,373,962,1.0,17,1.0,1198
scene0608_01,mesh_normal_ibsp,12,1509,956,1.0,22,1.0,41
